route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
862,3528A4969,159057A3528B4969,,Newark,0,,9,0
1024,3906A5293,159724A3906B5293,,Journal Square via Hoboken,0,,4,0
860,3893A5283,572472A3893B5283,,World Trade Center,1,,10,0
1024,3906A5310,159764A3906B5310,,Journal Square via Hoboken,0,,4,0
862,3529A4969,602390A3529B4969,,Newark,0,,9,0
859,3528A4969,158273A3528B4969,,33rd Street,1,,11,0
860,3893A5283,572444A3893B5283,,World Trade Center,1,,10,0
1024,3906A5310,159700A3906B5310,,Journal Square via Hoboken,0,,4,0
860,3528A4969,158589A3528B4969,,World Trade Center,1,,10,0
1024,3907A5293,159405A3907B5293,,33rd via Hoboken,1,,2,0
4768,3894A5283,572885A3894B5283,,Hoboken,1,,12,0
1024,3906A5292,159730A3906B5292,,Journal Square via Hoboken,0,,4,0
860,3528A4969,158576A3528B4969,,World Trade Center,1,,10,0
1024,3906A5310,159599A3906B5310,,33rd via Hoboken,1,,2,0
1024,3906A5310,159592A3906B5310,,33rd via Hoboken,1,,2,0
860,3894A5283,572784A3894B5283,,Hoboken,0,,3,0
1024,3906A5310,159756A3906B5310,,Journal Square via Hoboken,0,,4,0
1024,3907A5293,159371A3907B5293,,33rd via Hoboken,1,,2,0
1024,3906A5292,159675A3906B5292,,33rd via Hoboken,1,,2,0
859,3528A4969,158318A3528B4969,,33rd Street,1,,11,0
860,3894A5283,572587A3894B5283,,World Trade Center,1,,10,0
861,3528A4969,160320A3528B4969,,Journal Square,0,,6,0
4768,3893A5283,572881A3893B5283,,Hoboken,1,,12,0
862,3530A4969,602575A3530B4969,,World Trade Center,1,,8,0
1024,3906A5310,159669A3906B5310,,33rd via Hoboken,1,,2,0
4768,3893A5283,572835A3893B5283,,Hoboken,1,,12,0
861,3528A4969,160150A3528B4969,,33rd Street,1,,5,0
862,3528A4969,159241A3528B4969,,World Trade Center,1,,8,0
861,3528A4969,160204A3528B4969,,Journal Square,0,,6,0
1024,3906A5310,159747A3906B5310,,Journal Square via Hoboken,0,,4,0
860,3894A5283,572585A3894B5283,,World Trade Center,1,,10,0
860,3528A4969,158543A3528B4969,,World Trade Center,1,,10,0
1024,3907A5292,159497A3907B5292,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159071A3528B4969,,Newark,0,,9,0
1024,3906A5292,159586A3906B5292,,33rd via Hoboken,1,,2,0
862,3528A4969,159025A3528B4969,,Newark,0,,9,0
